query_id,doc_1,click_prob_1,relevance_score_1,doc_2,click_prob_2,relevance_score_2,doc_3,click_prob_3,relevance_score_3,doc_4,click_prob_4,relevance_score_4,doc_5,click_prob_5,relevance_score_5,doc_6,click_prob_6,relevance_score_6,doc_7,click_prob_7,relevance_score_7,doc_8,click_prob_8,relevance_score_8,doc_9,click_prob_9,relevance_score_9,doc_10,click_prob_10,relevance_score_10
5,14.0,0,2,2.0,1,4,5.0,0,4,7.0,0,3,4.0,0,1,9.0,0,2,12.0,0,1,13.0,0,1,11.0,0,1,6.0,0,1
9,4.0,0,2,5.0,0,2,2.0,0,2,9.0,0,2,13.0,0,1,11.0,0,2,10.0,0,2,7.0,0,2,12.0,0,1,1.0,0,1
13,1.0,0,2,4.0,0,2,3.0,1,3,8.0,0,2,6.0,0,2,5.0,0,1,9.0,0,2,7.0,0,1,16.0,0,2,11.0,0,2
15,16.0,1,2,6.0,0,2,20.0,0,1,13.0,0,3,17.0,0,1,19.0,0,1,15.0,0,1,4.0,0,1,14.0,0,3,18.0,0,1
17,2.0,0,1,12.0,0,1,9.0,0,1,11.0,0,1,18.0,0,1,16.0,0,1,1.0,0,1,6.0,0,1,13.0,0,1,5.0,0,1
19,12.0,0,1,1.0,1,2,13.0,0,3,10.0,0,4,3.0,0,1,2.0,0,1,14.0,0,1,7.0,0,2,4.0,0,1,8.0,0,2
20,10.0,0,1,4.0,0,1,2.0,0,2,6.0,0,1,9.0,0,1,8.0,0,2,1.0,0,1,7.0,0,1,3.0,0,2,5.0,0,1
21,3.0,0,2,4.0,0,1,1.0,0,2,9.0,0,1,6.0,0,2,8.0,0,1,2.0,0,1,7.0,0,2,5.0,0,2,10.0,0,1
22,5.0,1,3,13.0,0,3,11.0,0,2,4.0,0,1,14.0,0,2,8.0,0,2,15.0,0,3,12.0,0,3,9.0,0,2,3.0,0,1
23,10.0,0,2,8.0,0,2,6.0,0,1,1.0,0,1,2.0,0,1,4.0,1,2,9.0,0,1,5.0,0,1,7.0,0,2,3.0,0,2
24,2.0,0,1,13.0,0,2,1.0,0,1,3.0,0,1,4.0,0,1,7.0,0,1,6.0,0,1,9.0,0,1,12.0,0,1,11.0,0,1
25,5.0,0,2,19.0,0,2,18.0,0,2,11.0,0,1,20.0,1,2,12.0,0,2,2.0,0,1,4.0,0,2,9.0,0,1,15.0,0,2
27,10.0,1,3,9.0,0,3,7.0,0,3,6.0,0,4,8.0,0,1,1.0,0,2,4.0,0,3,2.0,0,2,3.0,0,2,11.0,0,2
30,9.0,0,3,1.0,0,2,6.0,0,4,3.0,0,3,8.0,0,1,7.0,0,3,11.0,0,2,12.0,0,2,13.0,0,3,5.0,0,1
31,12.0,1,3,10.0,0,3,11.0,0,3,5.0,0,4,6.0,0,2,9.0,0,2,3.0,0,3,2.0,0,3,7.0,0,2,4.0,0,1
32,6.0,0,3,5.0,1,3,11.0,0,3,7.0,0,1,9.0,0,4,1.0,0,3,12.0,0,3,13.0,0,1,3.0,0,2,8.0,0,3
33,5.0,0,1,1.0,0,1,9.0,0,1,8.0,0,1,4.0,0,1,3.0,0,2,7.0,0,1,10.0,0,1,2.0,0,2,6.0,0,1
34,8.0,0,3,16.0,0,2,19.0,0,2,9.0,0,2,3.0,0,1,7.0,0,1,2.0,0,1,10.0,1,2,14.0,0,2,5.0,0,1
36,11.0,0,2,7.0,0,3,3.0,0,3,6.0,0,2,4.0,0,2,1.0,0,3,13.0,0,1,12.0,0,2,5.0,0,1,8.0,0,3
37,3.0,0,2,7.0,0,2,19.0,0,2,9.0,0,2,17.0,0,1,1.0,0,1,13.0,0,1,4.0,0,2,10.0,0,2,5.0,0,1
38,5.0,1,2,4.0,0,2,6.0,0,2,10.0,0,3,2.0,0,1,7.0,0,1,1.0,0,2,3.0,0,1,9.0,0,1,8.0,0,1
39,9.0,0,2,7.0,0,2,6.0,0,1,16.0,0,2,5.0,0,2,13.0,0,1,12.0,0,2,17.0,0,2,15.0,0,2,10.0,0,2
40,2.0,0,1,5.0,0,1,4.0,1,1,6.0,0,1,11.0,0,1,8.0,0,4,1.0,0,1,9.0,0,1,12.0,0,1,13.0,0,2
41,11.0,1,2,7.0,0,1,4.0,0,1,2.0,0,2,10.0,0,1,8.0,0,1,6.0,0,1,1.0,0,2,3.0,0,1,9.0,0,2
42,2.0,0,2,11.0,0,3,16.0,0,1,18.0,0,2,17.0,0,1,22.0,0,1,12.0,0,1,8.0,1,1,10.0,0,2,5.0,0,2
43,6.0,1,3,8.0,0,2,11.0,0,3,5.0,0,3,2.0,0,3,4.0,0,3,10.0,0,2,7.0,0,3,1.0,0,2,9.0,0,1
44,5.0,1,1,2.0,0,1,8.0,0,1,4.0,0,1,11.0,0,1,9.0,0,2,7.0,0,1,6.0,0,1,10.0,0,1,3.0,0,1
45,8.0,0,2,1.0,1,2,7.0,0,2,9.0,0,2,6.0,0,2,3.0,0,1,11.0,0,1,2.0,0,2,5.0,0,1,4.0,0,2
47,9.0,0,2,2.0,1,2,6.0,0,2,8.0,0,2,10.0,0,1,4.0,0,2,1.0,0,2,12.0,0,2,3.0,0,1,5.0,0,1
50,1.0,1,1,7.0,0,1,10.0,0,1,5.0,0,1,6.0,0,1,2.0,0,1,3.0,0,1,11.0,0,1,9.0,0,1,8.0,0,1
51,5.0,0,1,3.0,0,1,8.0,0,1,11.0,1,1,4.0,0,1,7.0,0,1,6.0,0,1,2.0,0,1,10.0,0,1,9.0,0,1
52,15.0,0,2,9.0,0,2,8.0,0,3,6.0,0,1,16.0,0,2,12.0,0,1,10.0,0,1,3.0,0,2,5.0,0,3,2.0,0,2
54,1.0,0,2,5.0,0,2,20.0,0,4,13.0,1,3,16.0,0,1,11.0,0,2,3.0,0,1,4.0,0,2,7.0,0,1,10.0,0,2
55,18.0,0,2,3.0,0,1,21.0,1,2,15.0,0,1,12.0,0,2,22.0,0,1,20.0,0,3,16.0,0,2,14.0,0,2,19.0,0,1
56,8.0,0,2,3.0,0,2,4.0,0,1,7.0,0,1,10.0,0,1,6.0,0,2,9.0,0,1,5.0,0,1,2.0,0,3,1.0,0,1
57,4.0,0,1,12.0,0,1,5.0,1,2,14.0,0,2,11.0,0,2,6.0,0,2,3.0,0,2,2.0,0,2,10.0,0,1,1.0,0,2
58,5.0,0,2,14.0,0,1,9.0,1,2,12.0,0,2,16.0,0,1,17.0,0,2,4.0,0,2,13.0,0,2,15.0,0,2,6.0,0,2
60,5.0,0,1,14.0,1,2,2.0,0,2,8.0,0,1,1.0,0,2,10.0,0,1,16.0,0,1,9.0,0,1,7.0,0,1,3.0,0,2
61,3.0,0,2,11.0,0,4,4.0,1,3,10.0,0,2,9.0,0,3,6.0,0,2,1.0,0,3,12.0,0,2,2.0,0,2,7.0,0,2
63,3.0,0,2,11.0,0,2,5.0,1,2,10.0,0,2,9.0,0,2,7.0,0,4,6.0,0,2,4.0,0,2,12.0,0,2,8.0,0,1
64,8.0,0,1,1.0,1,1,3.0,0,2,4.0,0,1,13.0,0,1,14.0,0,1,7.0,0,2,5.0,0,1,9.0,0,1,10.0,0,2
65,19.0,0,1,4.0,0,1,9.0,0,1,20.0,0,1,10.0,0,2,13.0,0,1,6.0,0,1,11.0,0,2,3.0,0,1,14.0,0,2
66,5.0,0,2,2.0,1,2,11.0,0,1,1.0,0,3,6.0,0,2,4.0,0,3,9.0,0,2,3.0,0,2,10.0,0,2,7.0,0,1
70,8.0,0,1,5.0,0,2,4.0,0,1,7.0,1,1,1.0,0,2,2.0,0,1,3.0,0,1,9.0,0,2,10.0,0,2,6.0,0,1
71,13.0,0,1,15.0,0,1,14.0,1,4,19.0,0,2,11.0,0,2,8.0,0,2,17.0,0,2,10.0,0,2,21.0,0,2,24.0,0,2
72,9.0,1,2,4.0,0,2,2.0,0,2,3.0,0,3,12.0,0,2,10.0,0,2,13.0,0,3,14.0,0,3,1.0,0,1,7.0,0,2
73,3.0,0,2,12.0,1,4,11.0,0,1,15.0,0,3,19.0,0,1,2.0,0,1,14.0,0,4,5.0,0,1,13.0,0,1,8.0,0,3
74,7.0,1,4,3.0,0,2,5.0,0,3,9.0,0,3,1.0,0,3,4.0,0,2,2.0,0,3,10.0,0,3,8.0,0,2,6.0,0,1
75,10.0,1,2,7.0,0,2,11.0,0,1,1.0,0,1,3.0,0,4,9.0,0,1,8.0,0,1,6.0,0,1,4.0,0,2,13.0,0,2
80,11.0,0,1,15.0,1,2,7.0,0,1,14.0,0,2,13.0,0,1,6.0,0,1,4.0,0,1,9.0,0,1,10.0,0,2,8.0,0,2
84,2.0,0,4,10.0,1,4,8.0,0,2,9.0,0,2,7.0,0,2,6.0,0,1,14.0,0,2,3.0,0,4,11.0,0,3,12.0,0,1
85,13.0,1,2,15.0,0,1,10.0,0,2,2.0,0,2,8.0,0,1,11.0,0,2,6.0,0,2,7.0,0,1,1.0,0,1,12.0,0,2
86,9.0,0,2,8.0,0,2,3.0,0,3,10.0,1,2,11.0,0,2,12.0,0,2,15.0,0,2,14.0,0,2,2.0,0,2,5.0,0,3
88,12.0,1,1,7.0,0,2,1.0,0,2,4.0,0,1,10.0,0,2,3.0,0,2,14.0,0,2,13.0,0,1,8.0,0,1,11.0,0,1
90,5.0,0,1,9.0,0,1,12.0,0,2,13.0,0,1,1.0,0,1,3.0,0,2,7.0,0,2,15.0,0,2,14.0,0,2,8.0,0,1
91,7.0,0,3,4.0,1,3,16.0,0,3,13.0,0,3,2.0,0,1,23.0,0,1,11.0,0,2,19.0,0,2,21.0,0,2,3.0,0,3
93,11.0,0,2,4.0,0,2,7.0,0,1,5.0,0,1,1.0,0,1,8.0,1,1,9.0,0,1,3.0,0,1,2.0,0,1,6.0,0,1
96,1.0,0,1,9.0,0,1,4.0,0,1,3.0,0,1,5.0,0,2,8.0,0,2,10.0,0,2,2.0,0,2,11.0,0,2,6.0,0,2
97,2.0,1,1,6.0,0,2,4.0,0,1,7.0,0,1,10.0,0,2,3.0,0,1,8.0,0,1,12.0,0,1,1.0,0,2,9.0,0,1
99,6.0,1,2,1.0,0,2,8.0,0,2,4.0,0,2,14.0,0,1,13.0,0,2,3.0,0,1,5.0,0,1,2.0,0,2,12.0,0,2
101,16.0,1,4,15.0,0,1,1.0,0,2,17.0,0,2,4.0,0,2,3.0,0,3,9.0,0,2,10.0,0,2,12.0,0,2,5.0,0,1
102,8.0,0,1,2.0,0,1,10.0,0,1,7.0,0,1,9.0,0,2,5.0,0,1,3.0,0,1,11.0,0,1,4.0,0,1,6.0,0,1
103,12.0,0,1,7.0,0,1,9.0,0,1,1.0,0,1,4.0,0,1,8.0,0,1,6.0,0,1,13.0,0,1,5.0,0,1,10.0,0,2
104,10.0,0,1,11.0,0,2,3.0,1,2,1.0,0,1,5.0,0,2,4.0,0,1,8.0,0,1,6.0,0,1,9.0,0,1,7.0,0,1
105,1.0,0,2,4.0,0,1,9.0,0,1,3.0,1,3,7.0,0,1,5.0,0,2,8.0,0,1,2.0,0,2,14.0,0,1,13.0,0,1
107,8.0,0,2,7.0,0,2,13.0,0,2,12.0,0,2,5.0,0,2,4.0,1,2,9.0,0,1,11.0,0,2,2.0,0,3,1.0,0,2
109,14.0,0,1,7.0,1,1,9.0,0,2,12.0,0,3,13.0,0,3,1.0,0,2,6.0,0,3,2.0,0,1,11.0,0,2,10.0,0,2
110,10.0,1,4,14.0,0,3,13.0,0,3,4.0,0,1,2.0,0,2,1.0,0,2,3.0,0,1,9.0,0,2,11.0,0,2,5.0,0,2
111,7.0,0,1,1.0,0,1,8.0,0,1,4.0,0,1,5.0,0,1,6.0,0,2,12.0,0,1,11.0,0,1,3.0,0,2,9.0,0,1
112,4.0,0,2,13.0,0,2,3.0,1,3,12.0,0,2,5.0,0,4,6.0,0,3,16.0,0,1,10.0,0,3,1.0,0,3,9.0,0,4
