query_id,relevance_score,document_no,score
5,2,14,4.11533144
5,4,2,3.84743778
5,4,5,3.6035437
5,3,7,3.53312485
5,1,4,3.52492026
5,2,9,3.14113954
5,1,12,2.41520752
5,1,13,2.34620972
5,1,11,2.25580063
5,1,6,2.19985378
9,2,4,2.5754152
9,2,5,2.50612887
9,2,2,1.96657024
9,2,9,1.59131675
9,1,13,1.58733021
9,2,11,1.50973377
9,2,10,1.50700431
9,2,7,1.3086842
9,1,12,1.20573867
9,1,1,1.0286361
13,2,1,4.29224772
13,2,4,2.62246424
13,3,3,2.33240137
13,2,8,2.17636398
13,2,6,2.15682774
13,1,5,2.15008699
13,2,9,1.94698971
13,1,7,1.93241662
13,2,16,1.90451118
13,2,11,1.44366803
15,2,16,3.99521802
15,2,6,3.87879338
15,1,20,3.51486159
15,3,13,3.46295216
15,1,17,3.22314779
15,1,19,3.1228646
15,1,15,2.93293132
15,1,4,2.86598811
15,3,14,2.68358365
15,1,18,2.61853781
17,1,2,4.59777654
17,1,12,2.87587685
17,1,9,2.80708907
17,1,11,2.61174939
17,1,18,2.59791752
17,1,16,2.56552777
17,1,1,2.36227363
17,1,6,2.32311608
17,1,13,2.2593302
17,1,5,2.14910616
19,1,12,2.55978617
19,2,1,2.3993113
19,3,13,2.16992219
19,4,10,2.02985688
19,1,3,1.91898842
19,1,2,1.74931142
19,1,14,1.69020658
19,2,7,1.46949886
19,1,4,1.31907775
19,2,8,1.16617519
20,1,10,3.35273064
20,1,4,3.33536183
20,2,2,3.27957326
20,1,6,3.175286
20,1,9,3.12392177
20,2,8,3.09938812
20,1,1,2.72145082
20,1,7,2.59612779
20,2,3,2.00042376
20,1,5,1.19686803
21,2,3,2.8382611
21,1,4,2.68968362
21,2,1,2.49193801
21,1,9,2.31201162
21,2,6,2.28529714
21,1,8,2.22514019
21,1,2,2.12427976
21,2,7,1.88838732
21,2,5,1.81679944
21,1,10,1.52683294
22,3,5,4.92827676
22,3,13,4.84852264
22,2,11,4.33077147
22,1,4,4.23579873
22,2,14,3.87416223
22,2,8,3.84659891
22,3,15,3.63493692
22,3,12,3.50910647
22,2,9,3.41149032
22,1,3,3.28118877
23,2,10,2.42829634
23,2,8,2.06426947
23,1,6,1.97030491
23,1,1,1.76550493
23,1,2,1.59771145
23,2,4,1.57405025
23,1,9,1.48789652
23,1,5,1.36743029
23,2,7,0.9189014
23,2,3,0.45828908
24,1,2,2.51464666
24,2,13,2.39647391
24,1,1,1.98062687
24,1,3,1.91852824
24,1,4,1.53919794
24,1,7,1.48873675
24,1,6,1.27889502
24,1,9,1.21808973
24,1,12,1.11482914
24,1,11,0.96253716
25,2,5,3.15707466
25,2,19,3.0500665
25,2,18,3.04195498
25,1,11,2.98317521
25,2,20,2.9399461
25,2,12,2.92063403
25,1,2,2.7889428
25,2,4,2.55747429
25,1,9,2.37042241
25,2,15,2.28557196
27,3,10,4.18997449
27,3,9,4.04846927
27,3,7,3.71002538
27,4,6,3.53794723
27,1,8,3.39620086
27,2,1,3.00587002
27,3,4,2.99832475
27,2,2,2.87122656
27,2,3,2.80501832
27,2,11,2.50956839
30,3,9,3.35269557
30,2,1,3.33919355
30,4,6,3.29296694
30,3,3,3.24007006
30,1,8,2.94153319
30,3,7,2.76000228
30,2,11,2.56862933
30,2,12,2.50014641
30,3,13,2.38744522
30,1,5,1.97980873
31,3,12,5.3993293
31,3,10,4.83321714
31,3,11,4.39346271
31,4,5,4.35338094
31,2,6,4.30662584
31,2,9,3.60870252
31,3,3,3.54816221
31,3,2,3.47036253
31,2,7,3.14195304
31,1,4,2.92996235
32,3,6,4.38507931
32,3,5,4.37851388
32,3,11,4.08251453
32,1,7,4.01742388
32,4,9,3.81795953
32,3,1,3.80798985
32,3,12,3.58006883
32,1,13,3.51215924
32,2,3,3.25840784
32,3,8,3.25742469
33,1,5,3.64206555
33,1,1,3.33235449
33,1,9,3.09728318
33,1,8,3.09344799
33,1,4,2.83669307
33,2,3,2.77532555
33,1,7,2.61629403
33,1,10,2.5216404
33,2,2,2.44520149
33,1,6,2.20254791
34,3,8,2.9657792
34,2,16,2.9657792
34,2,19,2.73900577
34,2,9,2.67805478
34,1,3,2.58579801
34,1,7,2.34025068
34,1,2,2.23584605
34,2,10,2.19610261
34,2,14,1.81206287
34,1,5,1.65193091
36,2,11,5.42762833
36,3,7,5.09491089
36,3,3,4.84872952
36,2,6,4.05369763
36,2,4,3.92356349
36,3,1,3.64689632
36,1,13,3.51570844
36,2,12,3.05633147
36,1,5,2.95265781
36,3,8,2.80910725
37,2,3,3.26233519
37,2,7,2.81405277
37,2,19,2.70887793
37,2,9,2.70145218
37,1,17,2.68906124
37,1,1,2.52625099
37,1,13,2.51312275
37,2,4,2.43215778
37,2,10,2.39847572
37,1,5,2.15658666
38,2,5,2.52047848
38,2,4,2.23186616
38,2,6,2.00098161
38,3,10,1.97427258
38,1,2,1.76052386
38,1,7,1.73674534
38,2,1,1.49539004
38,1,3,1.36201088
38,1,9,1.10112187
38,1,8,0.63645984
39,2,9,5.12940306
39,2,7,4.21642222
39,1,6,4.18960204
39,2,16,4.17323704
39,2,5,4.14074011
39,1,13,4.08962442
39,2,12,4.05211216
39,2,17,3.98834131
39,2,15,3.84391626
39,2,10,3.79367903
40,1,2,3.49504569
40,1,5,3.39959229
40,1,4,2.99208339
40,1,6,2.97248958
40,1,11,2.83349458
40,4,8,2.74596712
40,1,1,2.54532439
40,1,9,2.00263991
40,1,12,1.92922912
40,2,13,1.90417126
